id_LFM,IndexNbr,kanji,kana,name,lat,lon,no,subpref_kanji,prec_no,groupCode,has_rj,skip
781321,47632,岐阜,ｷﾞﾌ,Gifu,35.4,136.7617,52586,岐阜,52,37,0,F
766918,47636,名古屋,ﾅｺﾞﾔ,Nagoya,35.1667,136.965,51106,愛知,51,36,1,F
788570,47637,飯田,ｲｲﾀﾞ,Iida,35.5233,137.8217,48767,長野,48,33,0,F
797006,47638,甲府,ｺｳﾌ,Kofu,35.6667,138.5533,49142,山梨,49,34,1,F
787406,47640,河口湖,ｶﾜｸﾞﾁｺ,Kawaguchiko,35.5,138.76,49251,山梨,49,34,0,F
817444,47641,秩父,ﾁﾁﾌﾞ,Chichibu,35.99,139.0733,43156,埼玉,43,29,0,F
821089,47646,館野,ﾀﾃﾉ,Tateno,36.0583,140.125,40336,茨城,40,26,1,T
801902,47648,銚子,ﾁｮｳｼ,Choshi,35.7383,140.8567,45147,千葉,45,31,1,F
742865,47649,上野,ｳｴﾉ,Ueno,34.7617,136.1417,53112,三重,53,38,0,F
741679,47651,津,ﾂ,Tsu,34.7333,136.5183,53133,三重,53,38,0,F
734496,47653,伊良湖,ｲﾗｺ,Irako,34.6283,137.0933,51346,愛知,51,36,0,F
742927,47654,浜松,ﾊﾏﾏﾂ,Hamamatsu,34.7533,137.7117,50456,静岡,50,35,0,F
733339,47655,御前崎,ｵﾏｴｻﾞｷ,Omaezaki,34.6033,138.2117,50551,静岡,50,35,0,F
756166,47656,静岡,ｼｽﾞｵｶ,Shizuoka,34.975,138.4033,50331,静岡,50,35,1,F
764594,47657,三島,ﾐｼﾏ,Mishima,35.1133,138.925,50206,静岡,50,35,0,F
799456,47662,東京,ﾄｳｷｮｳ,Tokyo,35.6917,139.75,44132,東京,44,30,1,F
700832,47663,尾鷲,ｵﾜｾ,Owase,34.0683,136.1933,53378,三重,53,38,0,F
733365,47666,石廊崎,ｲﾛｳｻﾞｷ,Irozaki,34.6033,138.8417,50561,静岡,50,35,0,F
759797,47668,網代,ｱｼﾞﾛ,Ajiro,35.045,139.0917,50281,静岡,50,35,0,F
783839,47670,横浜,ﾖｺﾊﾏ,Yokohama,35.4383,139.6517,46106,神奈川,46,32,0,F
756225,47672,館山,ﾀﾃﾔﾏ,Tateyama,34.9867,139.865,45401,千葉,45,31,0,F
767051,47674,勝浦,ｶﾂｳﾗ,Katsura,35.15,140.3117,45371,千葉,45,31,0,F
741792,47675,大島,ｵｵｼﾏ,Oshima,34.7483,139.3617,44172,東京,44,30,0,T
704568,47677,三宅島,ﾐﾔｹｼﾞﾏ,Miyakejima,34.1233,139.52,44226,東京,44,30,0,T
644528,47678,八丈島,ﾊﾁｼﾞｮｳｼﾞﾏ,Hachijojima,33.1217,139.7783,44263,東京,44,30,0,T
793465,47682,千葉,ﾁﾊﾞ,Chiba,35.6017,140.1033,45212,千葉,45,31,0,F
753691,47684,四日市,ﾖｯｶｲﾁ,Yokkaichi,34.94,136.58,53061,三重,53,38,0,F
861898,47690,日光,ﾆｯｺｳ,Nikko,36.7383,139.5,41166,栃木,41,27,0,F
829224,47740,西郷,ｻｲｺﾞｳ,Saigo,36.2033,133.3333,68022,島根,68,51,0,T
784777,47741,松江,ﾏﾂｴ,Matsue,35.4567,133.065,68132,島根,68,51,1,F
789587,47742,境,ｻｶｲ,Sakai,35.5433,133.235,69006,鳥取,69,52,0,F
783587,47744,米子,ﾖﾅｺﾞ,Yonago,35.4333,133.3383,69076,鳥取,69,52,0,F
